disasterNumber,state,declarationType,fyDeclared
5464,RI,FM,2023
5463,KS,FM,2023
4731,CO,DR,2023
4731,CO,DR,2023
4731,CO,DR,2023
4731,CO,DR,2023
4738,GA,DR,2023
4738,GA,DR,2023
5444,TX,FM,2022
5444,TX,FM,2022
5443,TX,FM,2022
5471,OR,FM,2023
4738,GA,DR,2023
5429,TX,FM,2022
5428,TX,FM,2022
4738,GA,DR,2023
5426,FL,FM,2022
5426,FL,FM,2022
5424,FL,FM,2022
5422,TX,FM,2022
5420,TX,FM,2022
5419,CA,FM,2022
5418,SD,FM,2022
5417,CA,FM,2021
5416,CA,FM,2021
5415,WA,FM,2021
5414,WA,FM,2021
5413,CA,FM,2021
5412,CA,FM,2021
5411,WA,FM,2021
5410,WA,FM,2021
5409,OR,FM,2021
5408,UT,FM,2021
5408,UT,FM,2021
5407,ID,FM,2021
5407,ID,FM,2021
5405,CA,FM,2021
5404,HI,FM,2021
5403,MT,FM,2021
5403,MT,FM,2021
5401,WA,FM,2021
5400,CA,FM,2021
5400,CA,FM,2021
5398,WA,FM,2021
5397,WA,FM,2021
5396,OR,FM,2021
5396,OR,FM,2021
5395,WA,FM,2021
5394,OR,FM,2021
5393,CA,FM,2021
5392,MT,FM,2021
5391,UT,FM,2021
5388,UT,FM,2021
5386,NM,FM,2021
5384,SD,FM,2021
5383,CA,FM,2021
5382,NV,FM,2021
5381,CA,FM,2021
5381,CA,FM,2021
5381,CA,FM,2021
5380,CA,FM,2021
5379,CO,FM,2021
5378,CO,FM,2021
5377,CA,FM,2020
5376,CA,FM,2020
5376,CA,FM,2020
5375,WY,FM,2020
5375,WY,FM,2020
5374,CA,FM,2020
5373,CA,FM,2020
5372,OR,FM,2020
5371,OR,FM,2020
5371,OR,FM,2020
5370,OR,FM,2020
5369,OR,FM,2020
5368,OR,FM,2020
5366,OR,FM,2020
5365,OR,FM,2020
5364,OR,FM,2020
5363,CA,FM,2020
5363,CA,FM,2020
5363,CA,FM,2020
5362,OR,FM,2020
5361,CA,FM,2020
5360,WA,FM,2020
5359,WA,FM,2020
5358,OR,FM,2020
5356,OR,FM,2020
5356,OR,FM,2020
