City,region9,Year,c_temp,rainfall,snowfall,population,el_nino,g_temp,g_temp_lowess,storms,disasters,spending
Chicago,East-North Central,2000,49.8,33.36,30.3,2746352,-0.825,0.39,0.5,107,39,18229643.26
Chicago,East-North Central,2001,50.7,45.77,39.2,2746352,-0.3,0.53,0.52,119,0,85439467.99
Chicago,East-North Central,2002,50.8,33.92,31.1,2746352,0.633333333,0.63,0.55,154,164,44169813.34
Chicago,East-North Central,2003,48.8,32.02,28.6,2746352,0.258333333,0.62,0.58,143,0,0
Chicago,East-North Central,2004,49.8,31.58,24.8,2746352,0.458333333,0.53,0.61,153,290,0
Chicago,East-North Central,2005,51.2,24.09,39.4,2746352,0.033333333,0.68,0.62,172,530,185563941.9
Chicago,East-North Central,2006,51.8,41.95,26,2746352,0.058333333,0.64,0.62,160,17,0
Chicago,East-North Central,2007,51.1,35.8,35.6,2746352,-0.608333333,0.66,0.63,147,54,88507691.51
Chicago,East-North Central,2008,48.7,50.86,60.3,2746352,-0.775,0.54,0.64,144,0,436489342
Chicago,East-North Central,2009,48.7,42.57,52.7,2746352,0.3,0.65,0.64,116,103,0
Chicago,East-North Central,2010,51.4,37.61,54.2,2746352,-0.475,0.72,0.65,138,14,27521381.06
Chicago,East-North Central,2011,50.7,49.83,57.4,2746352,-0.85,0.61,0.66,84,163,155484896.8
Chicago,East-North Central,2012,54.5,26.91,19.8,2746352,-0.15,0.65,0.7,144,49,39822757.04
Chicago,East-North Central,2013,49.1,42.09,30.1,2746352,-0.325,0.68,0.74,144,73,81201642.56
Chicago,East-North Central,2014,47.5,39.47,82,2746352,0.108333333,0.75,0.79,131,48,0
Chicago,East-North Central,2015,50.1,39.85,50.7,2746352,1.458333333,0.9,0.83,158,0,0
Chicago,East-North Central,2016,52.3,35.97,31.2,2746352,0.325,1.02,0.88,168,0,0
Chicago,East-North Central,2017,52.5,43.1,26.1,2746352,-0.208333333,0.92,0.91,161,14,0
Chicago,East-North Central,2018,50.9,49.23,36.1,2746352,0.008333333,0.85,0.93,150,73,203917898.4
Chicago,East-North Central,2019,49.6,49.54,49.5,2746352,0.475,0.98,0.93,170,95,205001270.8
Chicago,East-North Central,2020,53.3,39.22,34.8,2746352,-0.366666667,1.01,0.95,148,930,3941972218
Chicago,East-North Central,2021,53.3,30.15,48.8,2746352,-0.725,0.85,0.97,156,0,33355572.11
Chicago,East-North Central,2022,51.3,31.99,32.8,2746352,-0.941666667,0.89,0.99,155,14,0
Chicago,East-North Central,2023,54,33.73,20.2,2746352,0.833333333,1.17,1.01,169,36,30116203.92
Nashville,East-South Central,2000,59.7,42.43,3.4,689454,-0.825,0.39,0.5,107,47,20038301.26
Nashville,East-South Central,2001,59.8,48.56,4.1,689454,-0.3,0.53,0.52,119,106,65504990.81
Nashville,East-South Central,2002,60,56.63,5.5,689454,0.633333333,0.63,0.55,154,155,93517389.68
Nashville,East-South Central,2003,58.8,59.47,15.1,689454,0.258333333,0.62,0.58,143,370,193633766
Nashville,East-South Central,2004,60.1,59.18,1.3,689454,0.458333333,0.53,0.61,153,0,292087380.9
Nashville,East-South Central,2005,60.5,39.31,0,689454,0.033333333,0.68,0.62,172,536,3365535709
Nashville,East-South Central,2006,61.4,45.72,1.7,689454,0.058333333,0.64,0.62,160,17,0
Nashville,East-South Central,2007,62.3,35.66,2.2,689454,-0.608333333,0.66,0.63,147,17,17781479.89
Nashville,East-South Central,2008,59.4,48.17,2,689454,-0.775,0.54,0.64,144,88,113984513.8
Nashville,East-South Central,2009,59,57.87,1.7,689454,0.3,0.65,0.64,116,227,484329652.6
Nashville,East-South Central,2010,59.5,59.08,7.1,689454,-0.475,0.72,0.65,138,187,321855061.7
Nashville,East-South Central,2011,60.4,52.14,12.5,689454,-0.85,0.61,0.66,84,306,430614428.7
Nashville,East-South Central,2012,62.3,45.82,0.4,689454,-0.15,0.65,0.7,144,93,0
Nashville,East-South Central,2013,59.3,54.88,1.5,689454,-0.325,0.68,0.74,144,7,5898143.7
Nashville,East-South Central,2014,58.9,50.59,1.6,689454,0.108333333,0.75,0.79,131,71,176456702.3
Nashville,East-South Central,2015,61.2,50.8,6.1,689454,1.458333333,0.9,0.83,158,209,107507528.7
Nashville,East-South Central,2016,62.7,42.73,11.3,689454,0.325,1.02,0.88,168,0,79978206.13
Nashville,East-South Central,2017,62.4,52.92,2.2,689454,-0.208333333,0.92,0.91,161,0,0
Nashville,East-South Central,2018,61.7,58.94,3,689454,0.008333333,0.85,0.93,150,75,0
Nashville,East-South Central,2019,62.5,64.27,0.5,689454,0.475,0.98,0.93,170,188,234819107.3
Nashville,East-South Central,2020,61.8,0,1.5,689454,-0.366666667,1.01,0.95,148,1060,1703155189
Nashville,East-South Central,2021,61.8,59.32,5.4,689454,-0.725,0.85,0.97,156,211,487191045.1
Nashville,East-South Central,2022,61.7,53.43,12.3,689454,-0.941666667,0.89,0.99,155,161,0
Nashville,East-South Central,2023,62.9,39.06,1.2,689454,0.833333333,1.17,1.01,169,256,257980935.6
New York City,Mid-Atlantic,2000,53.8,45.45,16.3,8804194,-0.825,0.39,0.5,107,30,61528002.46
New York City,Mid-Atlantic,2001,56.2,35.65,35,8804194,-0.3,0.53,0.52,119,0,4825791487
New York City,Mid-Atlantic,2002,56.4,45.2,3.5,8804194,0.633333333,0.63,0.55,154,0,0
New York City,Mid-Atlantic,2003,53.4,58.42,49.3,8804194,0.258333333,0.62,0.58,143,169,232438948.3
New York City,Mid-Atlantic,2004,54.5,51.93,42.6,8804194,0.458333333,0.53,0.61,153,205,185533871
